dataset,variable,description,unit,type,allowed_values_or_notes
field/surface_coverage.csv,on_target_herd,Whether the swarm was on the target herd at that frame. False marks mission entry and exit and F3's operator-driven switch to a new herd. The manuscript's pooled coverage percentages count every frame in the monitoring window; its per-mission coverage figure uses the on-target frames only.,,boolean,True/False
simulation/herd_configurations.csv,behaviour,Simulated herd behavioural state that generated the configuration.,,string,"grazing, travelling, panic"
simulation/herd_configurations.csv,config_idx,"Index of the herd configuration inside its regime; the nested product herd size x drones x factor1 x factor2, herd size outermost.",,integer,0-107; joins to herd_configurations.csv
simulation/herd_configurations.csv,n_animals,Number of animals in the herd.,count,integer,
simulation/herd_configurations.csv,n_drones,Number of monitoring drones (scalability/tuning designs) or the subset size in the viewpoint ablation.,count,integer,
simulation/herd_configurations.csv,spread_std_x_m,Grazing herd dispersion along x.,m,numeric,"10, 20, 30"
simulation/herd_configurations.csv,spread_std_z_m,Grazing herd dispersion along z.,m,numeric,"10, 20, 30"
simulation/herd_configurations.csv,spread_std_m,Herd dispersion (travelling and panic designs).,m,numeric,"10, 20, 30 travelling; fixed 10 for panic"
simulation/herd_configurations.csv,forward_velocity_ms,Herd forward speed.,m/s,numeric,"0.5, 1.0, 1.5 travelling; 1.0, 2.0, 4.0 panic"
simulation/herd_configurations.csv,orientation_entropy_std_deg,Standard deviation of individual headings about the herd heading (panic design).,deg,numeric,"45, 180, 360"
simulation/pso_controllers.csv,controller,PSO hyperparameter set under evaluation.,,string,"grazing, travelling, panic (specialists); generalist (untuned default w=0.7, c1=c2=1.5); deployed_field (flown in Kenya). The shared controller of the manuscript is not part of this release."
simulation/pso_controllers.csv,w,PSO inertia weight.,,numeric,
simulation/pso_controllers.csv,c1,PSO cognitive coefficient.,,numeric,
simulation/pso_controllers.csv,c2,PSO social coefficient.,,numeric,
simulation/pso_controllers.csv,kind,Role of the controller in the experimental design.,,string,"specialist, default, deployed"
simulation/pso_tuning_best.csv,behaviour,Simulated herd behavioural state that generated the configuration.,,string,"grazing, travelling, panic"
simulation/pso_tuning_best.csv,best_trial_id,trial_id of the campaign's winning trial.,,integer,
simulation/pso_tuning_best.csv,w,PSO inertia weight.,,numeric,
simulation/pso_tuning_best.csv,c1,PSO cognitive coefficient.,,numeric,
simulation/pso_tuning_best.csv,c2,PSO social coefficient.,,numeric,
simulation/pso_tuning_best.csv,median_monitoring_quality,Median Omega over the 108 configurations of a TPE trial; the quantity the tuner maximised.,,numeric,0-1
simulation/pso_tuning_best.csv,n_trials,Number of completed TPE trials in the campaign.,count,integer,
simulation/pso_tuning_trials.csv,behaviour,Simulated herd behavioural state that generated the configuration.,,string,"grazing, travelling, panic"
simulation/pso_tuning_trials.csv,trial_id,TPE trial index within the tuning campaign of that regime.,,integer,1-100
simulation/pso_tuning_trials.csv,loss,"TPE objective value, the negative of median_monitoring_quality.",,numeric,
simulation/pso_tuning_trials.csv,median_monitoring_quality,Median Omega over the 108 configurations of a TPE trial; the quantity the tuner maximised.,,numeric,0-1
simulation/pso_tuning_trials.csv,w,PSO inertia weight.,,numeric,
simulation/pso_tuning_trials.csv,c1,PSO cognitive coefficient.,,numeric,
simulation/pso_tuning_trials.csv,c2,PSO social coefficient.,,numeric,
simulation/pso_tuning_trials.csv,eval_time_s,Wall-clock time to evaluate one TPE trial (all 108 configurations).,s,numeric,
simulation/pso_tuning_trials.csv,timestamp,Wall-clock timestamp at which the trial finished.,,string,YYYYMMDD_HHMMSS
simulation/pso_validation_config_means.csv,behaviour,Simulated herd behavioural state that generated the configuration.,,string,"grazing, travelling, panic"
simulation/pso_validation_config_means.csv,controller,PSO hyperparameter set under evaluation.,,string,"grazing, travelling, panic (specialists); generalist (untuned default w=0.7, c1=c2=1.5); deployed_field (flown in Kenya). The shared controller of the manuscript is not part of this release."
simulation/pso_validation_config_means.csv,config_idx,"Index of the herd configuration inside its regime; the nested product herd size x drones x factor1 x factor2, herd size outermost.",,integer,0-107; joins to herd_configurations.csv
simulation/pso_validation_config_means.csv,mean_monitoring_quality,Mean Omega over the snapshots and repetitions of one configuration. This is the statistical unit of the validation tests.,,numeric,0-1
simulation/pso_validation_runs.csv,behaviour,Simulated herd behavioural state that generated the configuration.,,string,"grazing, travelling, panic"
simulation/pso_validation_runs.csv,config_idx,"Index of the herd configuration inside its regime; the nested product herd size x drones x factor1 x factor2, herd size outermost.",,integer,0-107; joins to herd_configurations.csv
simulation/pso_validation_runs.csv,n_animals,Number of animals in the herd.,count,integer,
simulation/pso_validation_runs.csv,n_drones,Number of monitoring drones (scalability/tuning designs) or the subset size in the viewpoint ablation.,count,integer,
simulation/pso_validation_runs.csv,snapshot_idx,Index of the herd snapshot sampled from the simulated trajectory.,,integer,0-2
simulation/pso_validation_runs.csv,snapshot_time_s,Time of the snapshot along the simulated trajectory.,s,numeric,
simulation/pso_validation_runs.csv,rep_idx,PSO repetition index for a fixed snapshot.,,integer,0-9
simulation/pso_validation_runs.csv,controller,PSO hyperparameter set under evaluation.,,string,"grazing, travelling, panic (specialists); generalist (untuned default w=0.7, c1=c2=1.5); deployed_field (flown in Kenya). The shared controller of the manuscript is not part of this release."
simulation/pso_validation_runs.csv,monitoring_quality,"Monitoring quality Omega of the solved configuration, as defined and implemented by the deployed objective.",,numeric,0-1
simulation/pso_validation_runs.csv,best_fitness,Best PSO fitness value reached (the solver's internal cost).,,numeric,
simulation/scalability_runs.csv,run_id,Unique identifier of one scalability optimisation run.,,string,
simulation/scalability_runs.csv,behaviour,Simulated herd behavioural state that generated the configuration.,,string,"grazing, travelling, panic"
simulation/scalability_runs.csv,N_a,Herd size of the scalability cell.,count,integer,"10, 25, 50, 75, 100 (main grid); 150, 200, 300 (large-herd grid)"
simulation/scalability_runs.csv,sigma,Isotropic spatial dispersion of the simulated herd.,m,numeric,10-100 in steps of 10
simulation/scalability_runs.csv,herd_idx,"Index of the independently seeded herd within its (N_a, sigma) cell.",,integer,0-9
simulation/scalability_runs.csv,M,Number of monitoring drones of the scalability cell.,count,integer,1-9
simulation/scalability_runs.csv,rep,PSO repetition index for a fixed herd.,,integer,0-4
simulation/scalability_runs.csv,min_sep,Minimum animal-animal separation enforced when sampling the herd.,m,numeric,
simulation/scalability_runs.csv,herd_seed,RNG seed that generated the herd.,,integer,
simulation/scalability_runs.csv,pso_seed,RNG seed of the PSO particle initialisation.,,integer,
simulation/scalability_runs.csv,V1,Herd-average dorsal coverage of the solved configuration.,,numeric,0-1
simulation/scalability_runs.csv,V2,Herd-average left-flank coverage.,,numeric,0-1
simulation/scalability_runs.csv,V3,Herd-average right-flank coverage.,,numeric,0-1
simulation/scalability_runs.csv,minV,"Worst of the three surface coverages, min_k V_k.",,numeric,0-1
simulation/scalability_runs.csv,per_animal_min_mean,Herd mean of each animal's worst-covered surface.,,numeric,0-1
simulation/scalability_runs.csv,per_animal_min_p10,10th percentile over animals of the worst-covered surface.,,numeric,0-1
simulation/scalability_runs.csv,Omega,Monitoring quality of the solved configuration.,,numeric,0-1
simulation/scalability_runs.csv,Delta,Framing/identification term of the objective.,,numeric,
simulation/scalability_runs.csv,Lambda_dist,Stand-off penalty term of the objective.,,numeric,
simulation/scalability_runs.csv,Lambda_idle,Idle-drone penalty term of the objective.,,numeric,
simulation/scalability_runs.csv,convergence_iter,PSO iteration at which the global best last improved.,count,integer,
simulation/scalability_runs.csv,poses,"Solved drone configuration, four numbers per drone (x, z, yaw, tilt).",,string,space-separated
simulation/scalability_runs.csv,status,Termination status of the optimisation run.,,string,ok
simulation/scalability_runs.csv,t_solve,"Wall-clock time of one PSO solve, measured with 24 concurrent single-threaded workers on an Intel Core i7-13700HX.",s,numeric,
